,,,,,,,,m,L,G,K,dT,T,,,,,,,,,,,,
Time,Alpha,Sx,Sy,Ep,Ek,Ec,,2kg,1m,-9.81,0.1,0.01s,4s,,,,,,,,,,,,
3.23,-0.678,-0.628,-0.779,4.345,0.584,4.928,,,,,,,,,,,,,,,,,,,
3.24,-0.67,-0.621,-0.784,4.247,0.68,4.928,,,,,,,,,,,,,,,,,,,
3.25,-0.662,-0.615,-0.789,4.144,0.783,4.927,,,,,,,,,,,,,,,,,,,
3.26,-0.653,-0.607,-0.794,4.034,0.892,4.926,,,,,,,,,,,,,,,,,,,
3.27,-0.643,-0.6,-0.8,3.919,1.006,4.925,,,,,,,,,,,,,,,,,,,
3.28,-0.633,-0.591,-0.806,3.798,1.126,4.924,,,,,,,,,,,,,,,,,,,
3.29,-0.622,-0.583,-0.813,3.672,1.25,4.923,,,,,,,,,,,,,,,,,,,
3.3,-0.61,-0.573,-0.819,3.542,1.379,4.921,,,,,,,,,,,,,,,,,,,
3.31,-0.598,-0.563,-0.826,3.408,1.512,4.92,,,,,,,,,,,,,,,,,,,
3.32,-0.586,-0.553,-0.833,3.271,1.648,4.918,,,,,,,,,,,,,,,,,,,
3.33,-0.573,-0.542,-0.84,3.13,1.787,4.917,,,,,,,,,,,,,,,,,,,
3.34,-0.559,-0.53,-0.848,2.987,1.928,4.915,,,,,,,,,,,,,,,,,,,
3.35,-0.545,-0.518,-0.855,2.841,2.071,4.913,,,,,,,,,,,,,,,,,,,
3.36,-0.53,-0.506,-0.863,2.694,2.216,4.911,,,,,,,,,,,,,,,,,,,
3.37,-0.515,-0.493,-0.87,2.546,2.362,4.908,,,,,,,,,,,,,,,,,,,
3.38,-0.5,-0.479,-0.878,2.397,2.509,4.906,,,,,,,,,,,,,,,,,,,
3.39,-0.483,-0.465,-0.885,2.249,2.655,4.903,,,,,,,,,,,,,,,,,,,
3.4,-0.467,-0.45,-0.893,2.1,2.8,4.901,,,,,,,,,,,,,,,,,,,
3.41,-0.45,-0.435,-0.9,1.953,2.945,4.898,,,,,,,,,,,,,,,,,,,
3.42,-0.433,-0.419,-0.908,1.808,3.087,4.895,,,,,,,,,,,,,,,,,,,
3.43,-0.415,-0.403,-0.915,1.664,3.227,4.892,,,,,,,,,,,,,,,,,,,
3.44,-0.397,-0.386,-0.922,1.524,3.365,4.888,,,,,,,,,,,,,,,,,,,
3.45,-0.378,-0.369,-0.929,1.386,3.499,4.885,,,,,,,,,,,,,,,,,,,
3.46,-0.359,-0.352,-0.936,1.253,3.628,4.881,,,,,,,,,,,,,,,,,,,
3.47,-0.34,-0.334,-0.943,1.124,3.754,4.878,,,,,,,,,,,,,,,,,,,
3.48,-0.321,-0.315,-0.949,0.999,3.874,4.874,,,,,,,,,,,,,,,,,,,
3.49,-0.301,-0.296,-0.955,0.88,3.989,4.87,,,,,,,,,,,,,,,,,,,
3.5,-0.281,-0.277,-0.961,0.767,4.098,4.866,,,,,,,,,,,,,,,,,,,
3.51,-0.26,-0.257,-0.966,0.661,4.201,4.862,,,,,,,,,,,,,,,,,,,
3.52,-0.24,-0.237,-0.971,0.561,4.297,4.857,,,,,,,,,,,,,,,,,,,
3.53,-0.219,-0.217,-0.976,0.468,4.385,4.853,,,,,,,,,,,,,,,,,,,
3.54,-0.198,-0.196,-0.981,0.382,4.466,4.849,,,,,,,,,,,,,,,,,,,
3.55,-0.177,-0.176,-0.984,0.305,4.539,4.844,,,,,,,,,,,,,,,,,,,
3.56,-0.155,-0.155,-0.988,0.236,4.604,4.84,,,,,,,,,,,,,,,,,,,
3.57,-0.134,-0.133,-0.991,0.175,4.66,4.835,,,,,,,,,,,,,,,,,,,
3.58,-0.112,-0.112,-0.994,0.123,4.707,4.83,,,,,,,,,,,,,,,,,,,
3.59,-0.09,-0.09,-0.996,0.08,4.746,4.826,,,,,,,,,,,,,,,,,,,
3.6,-0.068,-0.068,-0.998,0.046,4.775,4.821,,,,,,,,,,,,,,,,,,,
3.61,-0.047,-0.047,-0.999,0.021,4.795,4.816,,,,,,,,,,,,,,,,,,,
3.62,-0.025,-0.025,-1,0.006,4.805,4.811,,,,,,,,,,,,,,,,,,,
3.63,-0.003,-0.003,-1,0,4.806,4.806,,,,,,,,,,,,,,,,,,,
3.64,0.019,0.019,-1,0.004,4.798,4.802,,,,,,,,,,,,,,,,,,,
3.65,0.041,0.041,-0.999,0.017,4.78,4.797,,,,,,,,,,,,,,,,,,,
3.66,0.063,0.063,-0.998,0.039,4.753,4.792,,,,,,,,,,,,,,,,,,,
3.67,0.085,0.085,-0.996,0.07,4.717,4.787,,,,,,,,,,,,,,,,,,,
3.68,0.106,0.106,-0.994,0.111,4.672,4.783,,,,,,,,,,,,,,,,,,,
3.69,0.128,0.128,-0.992,0.16,4.618,4.778,,,,,,,,,,,,,,,,,,,
3.7,0.149,0.149,-0.989,0.218,4.555,4.773,,,,,,,,,,,,,,,,,,,
3.71,0.171,0.17,-0.985,0.285,4.484,4.769,,,,,,,,,,,,,,,,,,,
3.72,0.192,0.191,-0.982,0.359,4.405,4.764,,,,,,,,,,,,,,,,,,,
3.73,0.213,0.211,-0.977,0.442,4.318,4.76,,,,,,,,,,,,,,,,,,,
3.74,0.233,0.231,-0.973,0.531,4.225,4.756,,,,,,,,,,,,,,,,,,,
3.75,0.254,0.251,-0.968,0.628,4.124,4.752,,,,,,,,,,,,,,,,,,,
3.76,0.274,0.27,-0.963,0.731,4.016,4.748,,,,,,,,,,,,,,,,,,,
3.77,0.294,0.29,-0.957,0.84,3.903,4.744,,,,,,,,,,,,,,,,,,,
3.78,0.313,0.308,-0.951,0.955,3.784,4.74,,,,,,,,,,,,,,,,,,,
3.79,0.333,0.327,-0.945,1.076,3.661,4.736,,,,,,,,,,,,,,,,,,,
3.8,0.352,0.344,-0.939,1.2,3.532,4.732,,,,,,,,,,,,,,,,,,,
3.81,0.37,0.362,-0.932,1.329,3.4,4.729,,,,,,,,,,,,,,,,,,,
3.82,0.388,0.379,-0.925,1.462,3.264,4.726,,,,,,,,,,,,,,,,,,,
3.83,0.406,0.395,-0.919,1.598,3.125,4.722,,,,,,,,,,,,,,,,,,,
3.84,0.424,0.411,-0.912,1.736,2.983,4.719,,,,,,,,,,,,,,,,,,,
3.85,0.441,0.427,-0.904,1.876,2.84,4.716,,,,,,,,,,,,,,,,,,,
3.86,0.458,0.442,-0.897,2.018,2.696,4.714,,,,,,,,,,,,,,,,,,,
3.87,0.474,0.456,-0.89,2.161,2.55,4.711,,,,,,,,,,,,,,,,,,,
3.88,0.489,0.47,-0.883,2.304,2.405,4.709,,,,,,,,,,,,,,,,,,,
3.89,0.505,0.484,-0.875,2.447,2.26,4.706,,,,,,,,,,,,,,,,,,,
3.9,0.52,0.496,-0.868,2.589,2.115,4.704,,,,,,,,,,,,,,,,,,,
3.91,0.534,0.509,-0.861,2.73,1.972,4.702,,,,,,,,,,,,,,,,,,,
3.92,0.548,0.521,-0.854,2.869,1.831,4.7,,,,,,,,,,,,,,,,,,,
3.93,0.561,0.532,-0.847,3.006,1.692,4.698,,,,,,,,,,,,,,,,,,,
3.94,0.574,0.543,-0.84,3.14,1.556,4.697,,,,,,,,,,,,,,,,,,,
3.95,0.586,0.553,-0.833,3.272,1.424,4.695,,,,,,,,,,,,,,,,,,,
3.96,0.597,0.563,-0.827,3.399,1.295,4.694,,,,,,,,,,,,,,,,,,,
3.97,0.609,0.572,-0.82,3.523,1.17,4.693,,,,,,,,,,,,,,,,,,,
3.98,0.619,0.58,-0.814,3.642,1.05,4.692,,,,,,,,,,,,,,,,,,,
3.99,0.629,0.588,-0.809,3.756,0.935,4.691,,,,,,,,,,,,,,,,,,,
4,0.638,0.596,-0.803,3.865,0.825,4.69,,,,,,,,,,,,,,,,,,,
